x,y,GoalProbabilityFor,GoalProbabilityAgainst,GoalProbabilityCombined
0,0,0,0.00525044724081713,0.000106915156240907
0,2,0,0.00471369553247318,0.0000951987980525753
0,4,0.00000550106261279362,0.00369745836534826,0.0000725193309375233
0,6,0.0000278360581302527,0.00219742792821479,0.0000400831274288698
0,8,0.0000861457439029801,0.000889394048414501,0.0000141551078563625
0,10,0.000183354003989231,0.00039303071681263,0.00000333233676476909
0,12,0.000306543322342255,0.000695411155348876,0.000000569804837222834
0,14,0.000414694338232439,0.00167359318746795,0.00000188385508544213
0,16,0.000448145987683193,0.00315526899967665,0.000009882535577839
0,18,0.000574251506630098,0.00441711866407149,0.0000212249621217202
0,20,0.000923934143235448,0.00466378699818281,0.0000185568714548489
0,22,0.00153169288844293,0.00382265395769502,0.000050728484280008
0,24,0.00261988136072275,0.00255405480792646,0.000195473959193459
0,26,0.00456157851407133,0.00167757582595184,0.000474797895424719
0,28,0.00668070203946984,0.00172594341061595,0.00077028890743171
0,30,0.00771647202314442,0.00250709639189006,0.00119064766510323
0,32,0.00745774661794428,0.00346520782204479,0.00156073239566527
0,34,0.00634688174286879,0.00445934452274688,0.00214296877390454
0,36,0.00511425000333978,0.00565269743491862,0.00267533044083205
0,38,0.0045750780517005,0.00705460870188903,0.00296724787967155
0,40,0.00496941474451389,0.00827168919737726,0.00265714809429703
0,42,0.00579219883008788,0.00874843424576468,0.00231118431042825
0,44,0.00633212936396182,0.00841733953022992,0.00185486653201741
0,46,0.00616263073799688,0.00760391685106197,0.00130705071922785
0,48,0.00532715903307541,0.00645714013516586,0.000820212792398924
0,50,0.0040575059163886,0.00489405232909387,0.000454486901152538
0,52,0.00266309410547548,0.00298493620625625,0.000246887429688424
0,54,0.0021192705775095,0.00126466566354669,0.000250544592268405
0,56,0.00376528049151091,0.000299779731022635,0.0000616795444821375
0,58,0.00743630404988905,0.0000322126519684501,0.0000167494697269342
0,60,0.0112499867304391,0.00000627750870523261,0.0000708618325848183
0,62,0.0122066269011966,0.0000261844085884934,0.0000556009153227336
0,64,0.00879339094596951,0.0000803516597608083,0.000031109498789566
0,66,0.00402887148699163,0.000183829225559895,0.0000123983268889708
0,68,0.00120854201872962,0.000312406839853849,0.00000318357737996822
0,70,0.000252396342918239,0.000381357688905294,0.000000637935915354747
0,72,0.0000386448485506674,0.000423661289400647,0.0000000563318462253144
0,74,0,0.000608216789335456,0.00000204390784715645
0,76,0,0.00123588354146898,0.00000513121850497136
0,78,0,0.00222925191517032,0.00000928649216278714
0,80,0,0.00329225966235262,0.0000139422712358002
2,0,0,0.00458975650744794,0.0000916048408341415
2,2,0.00000325052176478869,0.00383771385582052,0.000075582046124492
2,4,0.0000208286406294116,0.00266327579678838,0.0000506070115661204
2,6,0.0000896322540352529,0.00136229556082359,0.0000239409189814398
2,8,0.000248330873768958,0.000561288063609455,0.0000077330472812238
2,10,0.000500877534986513,0.000565515110003647,0.000002163111405649
2,12,0.000810302157335979,0.00151387980687459,0.0000014287407578711
2,14,0.00102326837754402,0.00350002319047122,0.00000331389669315541
2,16,0.00098653873530685,0.00605558639590117,0.0000104310863612443
2,18,0.00109333611095247,0.00784851028779558,0.0000186980385570967
2,20,0.00166225300058189,0.0078537847351068,0.0000563886334596376
2,22,0.00254046232602337,0.00634776666824036,0.000194207891587943
2,24,0.00366183831783534,0.00424499859446501,0.000427524190390975
2,26,0.00516122210461067,0.00276367264277248,0.000831953648344004
2,28,0.00665221484234885,0.00259652069604696,0.00126246907914659
2,30,0.00738829094619817,0.00340367618466349,0.00172873904111796
2,32,0.00718518570814356,0.00441754438862251,0.00208384215684115
2,34,0.00629060180003615,0.00540185118913992,0.00252433195568897
2,36,0.00524835401548434,0.00642543011270483,0.00284525122392879
