x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0,0
0,6,0,0
0,8,0,0
0,10,0,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
2,0,0,0
2,2,0,0
2,4,0,0
2,6,0,0
2,8,0.0000747840367734955,0.001
2,10,0.000134151881487049,0.004
2,12,0.000167774308176368,0.002
2,14,0.000146283374467849,0.001
2,16,0.0000889211986569571,0
2,18,0.0000376839545591504,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
4,0,0,0
4,2,0,0
4,4,0.0000564436054784581,0
4,6,0.000208315200854177,0.001
4,8,0.000536003963031,0.008
4,10,0.000961514558821028,0.021
4,12,0.00120249852718821,0.01
4,14,0.00104846531189266,0.003
4,16,0.000637330063125021,0.001
4,18,0.000270094392571537,0
4,20,0.0000798008570797081,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
6,0,0,0
6,2,0.0000532781675883672,0
6,4,0.000282042573610038,0.001
6,6,0.00104092846077006,0.011
6,8,0.00267835365790265,0.045
6,10,0.00480458394595119,0.057
6,12,0.00600875469409697,0.034
6,14,0.00523906742668866,0.013
6,16,0.00318466918828267,0.004
6,18,0.00134963238001494,0.001
6,20,0.000398756226081936,0
6,22,0.0000821372748644326,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
8,0,0,0
8,2,0.000185605151393367,0.002
8,4,0.000982551708210321,0.014
8,6,0.00362628245857832,0.053
8,8,0.00933058058604369,0.077
8,10,0.0167377289992443,0.077
8,12,0.0209326986111846,0.064
8,14,0.0182513390926553,0.04
8,16,0.0110944319894,0.017
8,18,0.00470171429605921,0.005
8,20,0.00138914705706105,0.001
8,22,0.000286141622850787,0
8,24,0.0000410917534297706,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
10,0,0.0000593672636807874,0.002
10,2,0.000450787221579063,0.017
10,4,0.00238636563304849,0.057
10,6,0.00880730832033271,0.076
10,8,0.0226615827552537,0.079
10,10,0.0406516429876541,0.079
10,12,0.0509017134038024,0.076
10,14,0.0444129938638113,0.067
10,16,0.0270276875781077,0.045
10,18,0.0114745083178468,0.019
10,20,0.00337388126092528,0.005
10,22,0.000694964477950584,0.001
10,24,0.0000998013105744013,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0,0
10,46,0,0
10,48,0,0
10,50,0,0
10,52,0,0
10,54,0,0
10,56,0,0
10,58,0,0
10,60,0,0
10,62,0,0
10,64,0,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
12,0,0.000100523922788388,0.019
12,2,0.00076329776793588,0.049
12,4,0.00404072581029303,0.064
12,6,0.0149130198475557,0.069
12,8,0.0384633941662751,0.071
12,10,0.0690942090468605,0.073
12,12,0.0866025132172511,0.073
12,14,0.0757738316156898,0.072
12,16,0.0463158320197706,0.065
12,18,0.0197998441295144,0.043
12,20,0.00593044023870911,0.014
12,22,0.00124787556051825,0.002
12,24,0.000168989079441231,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,44,0,0
12,46,0,0
12,48,0,0
12,50,0,0
12,52,0,0
12,54,0,0
12,56,0,0
12,58,0,0
12,60,0,0
12,62,0,0
12,64,0,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
14,0,0.000118667733739618,0.014
14,2,0.000901067266148542,0.029
14,4,0.00477004638567533,0.043
14,6,0.0177360282941908,0.051
14,8,0.0458338408885426,0.055
14,10,0.0827837634757611,0.059
14,12,0.10465187433947,0.061
14,14,0.0927962084585705,0.063
14,16,0.0579027236066131,0.063
14,18,0.0255437940297084,0.048
14,20,0.00801830842756589,0.015
14,22,0.00180567342232159,0.002
14,24,0.000294406434007174,0
14,26,0,0
